"cat1","cat2","url","name","ip","cf","ec2","incapsula","DDoS"
"Getting started","Free Samples and Offers","http://dailybitcoins.org/","dailybitcoins","78.46.152.177","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.freedigitalmoney.com/Bitcoins","Free Digital Money","157.55.194.188","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.bitvegas.net/","BitVegas","85.25.208.68","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.bitcrate.net/","BitCrate","184.172.24.188","False","False","False","False"
"Getting started","Free Samples and Offers","https://coinad.com/","CoinAd","146.185.166.176","False","False","False","False"
"Getting started","Free Samples and Offers","http://bitcoiner.net","Bitcoiner","37.28.155.130","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.bunnyrun.us/","Bunny Run","195.41.131.69","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.bitvisitor.com/","BitVisitor","173.230.139.8","False","False","False","False"
"Getting started","Free Samples and Offers","http://earnfreebitcoins.com","EarnFreeBitcoins","96.126.117.95","False","False","False","False"
"Getting started","Free Samples and Offers","http://coinreaper.com/","Coinreaper","94.231.107.137","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.bahtcoin.com","BahtCoin.com","23.82.187.96","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.BitHits.info/index.php","bithits","108.162.199.30","True","False","False","False"
"Getting started","Free Samples and Offers","http://www.devcoin.org/","devcoin.org","108.162.199.74","True","False","False","False"
"Getting started","Free Samples and Offers","http://www.thefreebitcoins.com/","thefreebitcoins","185.7.248.1","False","False","False","False"
"Getting started","Free Samples and Offers","http://canhasbitcoin.com/","canhasbitcoins","185.7.248.1","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.faucetbtc.com/","faucetBTC","185.7.248.1","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.elbitcoingratis.es/","elbitcoingratis.es","185.7.248.1","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.btc4you.com/","BTC4you","185.7.248.1","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.freebtc4all.com/","freebtc4all","185.7.248.1","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.virtualfaucet.com/","virtual faucet","185.7.248.1","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.freebitcoins.me/","freebitcoins.me","141.101.116.223","True","False","False","False"
"Getting started","Free Samples and Offers","http://www.bitcoinget.com","BitcoinGet","141.101.116.178","True","False","False","False"
"Getting started","Free Samples and Offers","https://free.btc.pt/","free.btc.pt","69.195.142.38","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.bitbucks.com/","BitBucks","195.41.131.69","False","False","False","False"
"Getting started","Free Samples and Offers","http://devfaucet.com/","devfaucet.com","192.241.240.148","False","False","False","False"
"Getting started","Free Samples and Offers","http://netlookup.se/free-bitcoins/","netlookup.se","176.9.39.118","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.abitback.com/","abitback","192.95.112.13","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.btc4free.com","btc4free","192.185.46.80","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.cointube.tv/","cointube","50.56.177.74","False","False","False","False"
"Getting started","Free Samples and Offers","http://www.coinchat.org/","coinchat","23.239.0.9","False","False","False","False"
"Getting started","Free Samples and Offers","http://cashclamber.com","CashClamber","37.122.209.103","False","False","False","False"
"Currency exchanges","Real-time Trading","https://bitbargain.co.uk/","BitBargain","188.227.224.121","False","False","False","False"
"Currency exchanges","Real-time Trading","https://bitbox.mx/","BitBox","108.162.201.72","True","False","False","False"
"Currency exchanges","Real-time Trading","https://bitcoin-central.net/","Bitcoin-Central","88.190.57.75","False","False","False","True"
"Currency exchanges","Real-time Trading","https://www.bitcoin.de/","bitcoin.de","190.93.241.46","True","False","False","True"
"Currency exchanges","Real-time Trading","https://bitcoin-24.com/","Bitcoin-24","141.101.125.83","True","False","False","True"
"Currency exchanges","Real-time Trading","https://bittylicious.com/","Bittylicious","109.169.23.57","False","False","False","False"
"Currency exchanges","Real-time Trading","http://btc.sx/","BTC.sx","141.101.127.16","True","False","False","False"
"Currency exchanges","Real-time Trading","https://xcfd.com","xCFD","108.162.200.213","True","False","False","False"
"Currency exchanges","Real-time Trading","https://exante.eu/products/BTC/","EXANTE Bitcoin Fund","5.9.146.38","False","False","False","False"
"Currency exchanges","Real-time Trading","http://bitcoinfund.us/","Bitcoin Fund US","85.195.90.70","False","False","False","False"
"Currency exchanges","Real-time Trading","https://bitnz.com/","bitNZ","199.195.140.86","False","False","False","False"
"Currency exchanges","Real-time Trading","https://bitstamp.net","Bitstamp","149.126.72.187","False","False","True","True"
