"date","pool","blocks","marketShare"
2011-10-18,"BTC-Guild",11,0.0887097
2011-10-18,"P2Pool",3,0.0241935
2011-10-18,"RFC-pool",3,0.0241935
2011-10-18,"Slush",3,0.0241935
2011-10-18,"Ars-bitcoin",3,0.0241935
2011-10-18,"BTCWorld",2,0.016129
2011-10-18,"Toasty",1,0.00806452
2011-10-18,"pool.itzod.ru",1,0.00806452
2011-10-18,"Masterpool.eu",1,0.00806452
2011-10-18,"Mt.Red",1,0.00806452
2011-10-18,"OzCoin",1,0.00806452
2011-11-18,"Deepbit",30,0.241935
2011-11-18,"BTC-Guild",17,0.137097
2011-11-18,"Slush",13,0.104839
2011-11-18,"Mainframe-Mining",5,0.0403226
2011-11-18,"Masterpool.eu",4,0.0322581
2011-11-18,"Eligius",3,0.0241935
2011-11-18,"BTCMine",2,0.016129
2011-11-18,"EclipseMC",2,0.016129
2011-11-18,"Bitcoinpool.com",1,0.00806452
2011-11-18,"Ars-bitcoin",1,0.00806452
2011-11-18,"Mt.Red",1,0.00806452
2011-11-18,"Mineco.in",1,0.00806452
2011-11-18,"BitPal",1,0.00806452
2011-11-18,"Bitclockers",1,0.00806452
2011-11-18,"nmcbit",1,0.00806452
2011-11-18,"pool.itzod.ru",1,0.00806452
2011-11-18,"BTCWorld",1,0.00806452
2011-12-19,"Deepbit",35,0.236486
2011-12-19,"BTC-Guild",21,0.141892
2011-12-19,"betsofbitco.in",10,0.0675676
2011-12-19,"EclipseMC",5,0.0337838
2011-12-19,"50BTC",4,0.027027
2011-12-19,"Eligius",3,0.0202703
2011-12-19,"Slush",3,0.0202703
2011-12-19,"Ars-bitcoin",3,0.0202703
2011-12-19,"pool.itzod.ru",2,0.0135135
2011-12-19,"BTCMine",1,0.00675676
2011-12-19,"Mt.Red",1,0.00675676
2011-12-19,"OzCoin",1,0.00675676
2011-12-19,"BitPal",1,0.00675676
2011-12-19,"BTCServ",1,0.00675676
2012-01-20,"Deepbit",57,0.419118
2012-01-20,"BTC-Guild",18,0.132353
2012-01-20,"GuildMiners",8,0.0588235
2012-01-20,"EclipseMC",6,0.0441176
2012-01-20,"Slush",6,0.0441176
2012-01-20,"Bitlc.net",4,0.0294118
2012-01-20,"OzCoin",3,0.0220588
2012-01-20,"Mt.Red",3,0.0220588
2012-01-20,"50BTC",2,0.0147059
2012-01-20,"Eligius",2,0.0147059
2012-01-20,"pool.itzod.ru",2,0.0147059
2012-01-20,"P2Pool",2,0.0147059
2012-01-20,"betsofbitco.in",1,0.00735294
2012-01-20,"Masterpool.eu",1,0.00735294
2012-01-20,"BTCServ",1,0.00735294
2012-04-07,"Deepbit",44,0.357724
2012-04-07,"BTC-Guild",20,0.162602
2012-04-07,"Slush",15,0.121951
2012-04-07,"EclipseMC",4,0.0325203
2012-04-07,"OzCoin",3,0.0243902
2012-04-07,"Polmine",2,0.0162602
2012-04-07,"P2Pool",2,0.0162602
2012-04-07,"Eligius",2,0.0162602
2012-04-07,"Bitparking",2,0.0162602
2012-04-07,"Bitlc.net",2,0.0162602
2012-04-07,"BitMinter",2,0.0162602
2012-04-07,"pool.mkalinin.ru",1,0.00813008
2012-04-07,"nmcbit",1,0.00813008
2012-04-07,"RENCI",1,0.00813008
2012-04-07,"Hendi",1,0.00813008
2012-04-07,"Donate@Home",1,0.00813008
2012-04-07,"50BTC",1,0.00813008
2012-04-10,"Deepbit",36,0.25
2012-04-10,"BTC-Guild",16,0.111111
2012-04-10,"Slush",14,0.0972222
2012-04-10,"OzCoin",8,0.0555556
2012-04-10,"Mt.Red",6,0.0416667
2012-04-10,"Bitlc.net",5,0.0347222
2012-04-10,"P2Pool",4,0.0277778
2012-04-10,"BTCMine",3,0.0208333
2012-04-10,"Eligius",2,0.0138889
2012-04-10,"EclipseMC",2,0.0138889
2012-04-10,"BitMinter",2,0.0138889
2012-04-10,"50BTC",2,0.0138889
2012-04-10,"Polmine",1,0.00694444
2012-05-03,"Deepbit",37,0.245033
2012-05-03,"BTC-Guild",24,0.15894
2012-05-03,"Slush",20,0.13245
2012-05-03,"OzCoin",7,0.0463576
2012-05-03,"Eligius",5,0.0331126
2012-05-03,"P2Pool",4,0.0264901
2012-05-03,"EclipseMC",4,0.0264901
2012-05-03,"Bitlc.net",3,0.0198676
2012-05-03,"pool.itzod.ru",1,0.00662252
2012-05-03,"Polmine",1,0.00662252
2012-05-03,"Mt.Red",1,0.00662252
2012-05-03,"Donate@Home",1,0.00662252
2012-05-03,"Bitparking",1,0.00662252
2012-05-03,"BitMinter",1,0.00662252
2012-05-03,"BTCMine",1,0.00662252
2012-05-03,"50BTC",1,0.00662252
