"service","dosday","cat","postlink"
"altcoin","2013-05-01","pool",192821
"betcoin","2013-10-11","gambling",309553
"bitpay","2011-06-13","financial",16310
"bitpay","2012-09-10","financial",108404
"bitpay","2012-09-16","financial",110028
"bitpay","2012-09-25","financial",112725
"bitcoin 24","2013-04-09","currency exchange",171623
"bitcoin central","2013-04-09","currency exchange",171436
"bitcoin de","2012-10-31","gambling",121455
"bitcoin de","2013-04-11","gambling",173926
"bitcoinore","2013-08-08","pool",270067
"bitcoins lc","2011-06-13","pool",16310
"bitcoins lc","2011-07-06","pool",26382
"bitcoins lc","2011-07-14","pool",28854
"bitcoins lc","2011-10-13","pool",48008
"bitinstant","2012-10-26","currency exchange",120749
"bitinstant","2012-11-07","currency exchange",122882
"bitminter","2013-06-12","pool",232730
"bitminter","2013-06-19","pool",238032
"bitmit","2013-07-15","other",256543
"bitmit","2013-07-16","other",257353
"bitstamp","2012-10-16","currency exchange",118751
"bitstamp","2013-03-23","currency exchange",156893
"bitstamp","2013-04-10","currency exchange",172614
"bitstamp","2013-04-11","currency exchange",172954
"bitstamp","2013-05-31","currency exchange",221152
"bitzino","2013-04-23","gambling",185878
"blockchain","2012-04-30","eWallet",78626
"blockchain","2013-03-20","eWallet",155323
"blockchain","2013-05-31","eWallet",221152
"blockchain","2013-08-20","eWallet",278011
"btc tc","2013-05-22","financial",213015
"btc tc","2013-06-22","financial",240611
"btce","2012-02-22","currency exchange",65590
"btce","2012-07-26","currency exchange",95812
"btce","2013-02-07","currency exchange",141764
"btce","2013-03-05","currency exchange",149191
"btce","2013-04-02","currency exchange",164966
"btce","2013-04-03","currency exchange",165960
"btce","2013-04-04","currency exchange",166548.0
"btce","2013-04-05","currency exchange",195541
"btce","2013-05-05","currency exchange",195541
"btce","2013-05-31","currency exchange",221122
"btce","2013-06-11","currency exchange",231996
"btce","2013-06-25","currency exchange",242869
"btcguild","2011-07-05","pool",26133
"btcguild","2011-07-06","pool",26382
"btcguild","2011-07-07","pool",26782
"btcguild","2011-08-12","pool",36699
"btcguild","2011-10-13","pool",48008
"btcguild","2011-10-19","pool",49038
"btcguild","2011-10-20","pool",49150
"btcguild","2012-06-14","pool",87613
"btcguild","2012-06-15","pool",87765
"btcguild","2013-04-17","pool",178722
"coinbase","2013-07-31","eWallet",265205
"coinotron","2011-09-06","pool",41713
"coinotron","2012-07-18","pool",94025
"coinotron","2012-07-22","pool",94656
"coinotron","2013-03-02","pool",148353
"coinotron","2013-03-25","pool",157846
"coinotron","2013-06-09","pool",229802
"cryptsy","2013-05-30","currency exchange",220288
"cryptsy","2013-06-25","currency exchange",242869
"cryptsy","2013-07-20","currency exchange",259506
"cryptsy","2013-07-23","currency exchange",261392
"deepbit","2011-05-28","pool",10308
"deepbit","2011-05-29","pool",10550
"deepbit","2011-05-31","pool",10796
"deepbit","2011-06-10","pool",14520
"deepbit","2011-06-11","pool",15318
"deepbit","2011-06-13","pool",16274
"deepbit","2011-07-07","pool",26782
"deepbit","2011-07-08","pool",27032
"deepbit","2011-10-19","pool",49038
"deepbit","2011-10-20","pool",49150
"deepbit","2012-06-14","pool",87613.0
"dwolla","2013-03-28","eWallet",159885
"eclipse","2012-06-15","pool",87765
"eclipse","2013-03-16","pool",153655
"eligius","2011-07-02","pool",25274
"eligius","2011-10-19","pool",49038
"eligius","2013-05-26","pool",216605
"fastcash4bitcoins","2013-05-29","currency exchange",219117
"ghash","2011-10-20","pool",49150
"just dice","2013-09-09","gambling",290866
"just dice","2013-09-19","gambling",297078
"microtronix esolutions","2011-08-26","other",39585
"microtronix hosting","2012-11-02","other",122046
"mpex","2013-03-10","financial",151615
"mtgox","2011-05-03","currency exchange",7118
"mtgox","2011-06-14","currency exchange",16864
"mtgox","2011-06-19","currency exchange",19527
"mtgox","2011-07-31","currency exchange",33223
"mtgox","2012-08-26","currency exchange",103368
"mtgox","2012-10-26","currency exchange",120737
"mtgox","2013-03-28","currency exchange",160225
"mtgox","2013-03-29","currency exchange",160500
"mtgox","2013-03-30","currency exchange",162317
"mtgox","2013-04-03","currency exchange",165968
"mtgox","2013-04-04","currency exchange",166650
"mtgox","2013-04-06","currency exchange",168755
"mtgox","2013-04-10","currency exchange",172550
"mtgox","2013-04-11","currency exchange",173383
"mtgox","2013-04-12","currency exchange",174299
"mtgox","2013-04-13","currency exchange",175261
"mtgox","2013-04-14","currency exchange",176188
"mtgox","2013-04-18","currency exchange",179644
"mtgox","2013-04-21","currency exchange",182298
"mtgox","2013-04-25","currency exchange",186983
"mtgox","2013-04-26","currency exchange",187921
"mtgox","2013-04-28","currency exchange",189667
"mtgox","2013-05-09","currency exchange",199744
"mtgox","2013-05-13","currency exchange",204364
"mtgox","2013-05-15","currency exchange",206406
"mtgox","2013-05-26","currency exchange",216698
"mtgox","2013-05-31","currency exchange",221152
"mtgox","2013-07-31","currency exchange",265205
"mtgox","2013-09-10","currency exchange",291674
"p2pool","2012-03-16","pool",69040
"p2pool","2012-07-18","pool",94025
"p2pool","2013-03-11","pool",152004
"peerbet","2013-09-21","gambling",298881
"primedice","2013-08-31","gambling",285162
"satoshidice","2013-03-10","gambling",151615
"satoshidice","2013-09-13","gambling",293663
"satoshidice","2013-09-18","gambling",296587
"satoshidice","2013-09-19","gambling",297078
"seals with clubs","2013-03-25","gambling",157854
"slush","2011-05-29","pool",10550
"slush","2011-06-13","pool",16201
"slush","2011-07-07","pool",26782
"slush","2011-10-19","pool",49038
"slush","2011-10-20","pool",49150
"slush","2011-10-26","pool",49939
"slush","2013-04-16","pool",178386
"slush","2013-04-17","pool",178722
"slush","2013-04-18","pool",179870
"slush","2013-05-26","pool",216605
"vircurex","2013-04-05","currency exchange",168087
"vircurex","2013-06-25","currency exchange",242971
"virwox","2012-10-09","currency exchange",117327
